Dataset Name,Friendly Name,Data Type,Field Path,Field Type,Example Value
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.files[].file_hash,str,'f5f7dad8a8820bd1b930dfb275810518'
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.files[].file_link,str,'anti-collision-edm/80/67940b267ae07be936140798/EAGLE_PASS_PROJECT_01092025repla
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.files[].file_name,str,'EAGLE_PASS_PROJECT_01092025replaced.edm.xml'
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.files[].export_level,str,'Site'
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.files[].latest_updated_at,int,1736446771
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.api_number,int,4246140000
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.latitude_deg,float,31.49086178639833
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.longitude_deg,float,-102.0658076204951
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,data.well_common_name,str,'EAGLE PASS B6 5913BH'
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,version,int,1
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,provider,str,'corva'
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,timestamp,int,1737755450
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,collection,str,'anti-collision.metadata-well'
corva#anti-collision.metadata-well,anti-collision.metadata-well,reference,company_id,int,80
corva#askcorva.settings,askcorva.settings,reference,kpi_name,str,'test'
corva#askcorva.settings,askcorva.settings,reference,pipeline,array,dict
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match,dict,object
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.$expr,dict,object
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.$expr.$and,array,dict
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.$expr.$and[].$ne,array,dict
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.$expr.$and[].$ne[].$toString,str,'$data.value'
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.data.key,str,'rop'
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.data.type,str,'hour'
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.data.year,int,2024
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.data.value,dict,object
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.data.value.$ne,str,'null'
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.data.value.$type,str,'number'
corva#askcorva.settings,askcorva.settings,reference,pipeline[].$match.data.value.$exists,str,'true'
corva#askcorva.settings,askcorva.settings,reference,company_id,int,3
corva#askcorva.settings,askcorva.settings,reference,kpi_segment,str,'Drilling'
corva#assets,assets,time,_id,str,'5f75f378bb0c099b4c3f4ea1'
corva#assets,assets,time,rig,dict,object
corva#assets,assets,time,rig.id,int,43
corva#assets,assets,time,rig.name,str,'Rig #6'
corva#assets,assets,time,name,str,'Deepwater A Well'
corva#assets,assets,time,type,str,'Asset::Well'
corva#assets,assets,time,basin,str,'Deep Water'
corva#assets,assets,time,stats,dict,object
corva#assets,assets,time,stats.total_time,int,6220800
corva#assets,assets,time,stats.total_depth,int,30360
corva#assets,assets,time,county,null,null
corva#assets,assets,time,status,str,'complete'
corva#assets,assets,time,program,dict,object
corva#assets,assets,time,program.id,int,38
corva#assets,assets,time,program.name,str,'PROGRAM 2'
corva#assets,assets,time,asset_id,int,31659357
corva#assets,assets,time,timezone,str,'America/Chicago'
corva#assets,assets,time,top_hole,dict,object
corva#assets,assets,time,top_hole.raw,str,"'25.3043° N, 90.0659° W'"
corva#assets,assets,time,top_hole.coordinates,array,float
corva#assets,assets,time,api_number,str,'60-812-40125'
corva#assets,assets,time,company_id,int,5
corva#assets,assets,time,created_at,str,'2020-10-01T15:19:19.955000'
corva#assets,assets,time,bottom_hole,dict,{}
corva#assets,assets,time,mud_company,str,''
corva#assets,assets,time,string_design,str,'4'
corva#assets,assets,time,last_active_at,str,'2019-03-20T06:50:45'
corva#assets,assets,time,contractor_name,str,'Nomac'
corva#assets,assets,time,target_formation,str,'Wilcox'
corva#assets,assets,time,custom_properties,dict,object
corva#assets,assets,time,custom_properties.rig_type,str,'floating'
corva#assets,assets,time,custom_properties.off_bottom_tolerance,str,'1.0'
corva#assets,assets,time,directional_driller,str,'Baker Hughes'
corva#assets,assets,time,day_shift_start_time,str,'06:00'
corva#circulation.lag-depth,circulation.lag-depth,time,_id,str,'5f760c2498fd15638925124a'
corva#circulation.lag-depth,circulation.lag-depth,time,data,dict,object
corva#circulation.lag-depth,circulation.lag-depth,time,data.bit_depth,float,7343.12
corva#circulation.lag-depth,circulation.lag-depth,time,data.lag_depth,float,7079.94
corva#circulation.lag-depth,circulation.lag-depth,time,data.timestamp,int,1545598715
corva#circulation.lag-depth,circulation.lag-depth,time,data.hole_depth,float,7343.12
corva#circulation.lag-depth,circulation.lag-depth,time,data.mud_flow_in,float,1254.96
corva#circulation.lag-depth,circulation.lag-depth,time,data.time_passed,int,23326
corva#circulation.lag-depth,circulation.lag-depth,time,data.pump_spm_total,int,100
corva#circulation.lag-depth,circulation.lag-depth,time,data.bit_to_surface_strokes,int,23202
corva#circulation.lag-depth,circulation.lag-depth,time,version,int,1
corva#circulation.lag-depth,circulation.lag-depth,time,asset_id,int,31659357
corva#circulation.lag-depth,circulation.lag-depth,time,provider,str,'corva'
corva#circulation.lag-depth,circulation.lag-depth,time,timestamp,int,1545598715
corva#circulation.lag-depth,circulation.lag-depth,time,collection,str,'circulation.lag-depth'
corva#circulation.lag-depth,circulation.lag-depth,time,company_id,int,5
corva#circulation.volumetric,circulation.volumetric,time,_id,str,'5f75f66c16a4233fd4e3fcde'
corva#circulation.volumetric,circulation.volumetric,time,data,dict,object
corva#circulation.volumetric,circulation.volumetric,time,data.status,int,1
corva#circulation.volumetric,circulation.volumetric,time,data.warning,dict,object
corva#circulation.volumetric,circulation.volumetric,time,data.warning.code,str,'data_missing_error'
corva#circulation.volumetric,circulation.volumetric,time,data.warning.stale,bool,True
corva#circulation.volumetric,circulation.volumetric,time,data.warning.message,str,"""The data appears to have the following missing channels: 'Mud Flowout Percentag"
corva#circulation.volumetric,circulation.volumetric,time,version,int,1
corva#circulation.volumetric,circulation.volumetric,time,asset_id,int,31659357
corva#circulation.volumetric,circulation.volumetric,time,provider,str,'corva'
corva#circulation.volumetric,circulation.volumetric,time,timestamp,int,1545203779
corva#circulation.volumetric,circulation.volumetric,time,collection,str,'circulation.volumetric'
corva#circulation.volumetric,circulation.volumetric,time,company_id,int,5
corva#completion.ccl-annotations,completion.ccl-annotations,time,_id,str,'67db439dac7ada8ce8f02956'
corva#completion.ccl-annotations,completion.ccl-annotations,time,data,dict,object
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.state,str,'Run in Hole'
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.comment,str,'I see an anomaly'
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.user_email,str,'ryan.dawson@corva.ai'
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.casing_joint,null,null
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.measured_depth,int,801
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.user_last_name,str,'Dawson'
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.current_user_id,int,15624
corva#completion.ccl-annotations,completion.ccl-annotations,time,data.user_first_name,str,'Ryan'
corva#completion.ccl-annotations,completion.ccl-annotations,time,version,int,1
corva#completion.ccl-annotations,completion.ccl-annotations,time,asset_id,int,123456
corva#completion.ccl-annotations,completion.ccl-annotations,time,provider,str,'corva'
corva#completion.ccl-annotations,completion.ccl-annotations,time,timestamp,int,1725148859
corva#completion.ccl-annotations,completion.ccl-annotations,time,collection,str,'completion.ccl-annotations'
corva#completion.ccl-annotations,completion.ccl-annotations,time,company_id,int,346
corva#completion.ccl-annotations,completion.ccl-annotations,time,stage_number,int,26
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,_id,str,'681b8609df38c12e794f655a'
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data,dict,object
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.state,str,'Run in Hole'
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.end_depth,float,13182.30935231508
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.start_depth,float,13178.009352315084
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.casing_joint,null,null
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.anomaly_score,float,0.8212986482895198
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.classification,null,null
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.classification_updated_at,null,null
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,data.classification_updated_by_user_id,null,null
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,version,int,1
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,asset_id,int,123456
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,provider,str,'corva'
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,timestamp,int,1746143883
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,collection,str,'completion.ccl-anomalies'
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,company_id,int,5
corva#completion.ccl-anomalies,completion.ccl-anomalies,reference,stage_number,int,26
corva#completion.ccl-settings,completion.ccl-settings,time,_id,str,'67db46fee8cf5dcbc1b131be'
corva#completion.ccl-settings,completion.ccl-settings,time,data,dict,object
corva#completion.ccl-settings,completion.ccl-settings,time,data.user_email,str,'ryan.dawson@corva.ai'
corva#completion.ccl-settings,completion.ccl-settings,time,data.user_last_name,str,'Dawson'
corva#completion.ccl-settings,completion.ccl-settings,time,data.current_user_id,int,15624
corva#completion.ccl-settings,completion.ccl-settings,time,data.user_first_name,str,'Ryan'
corva#completion.ccl-settings,completion.ccl-settings,time,data.depth_shift_run_in_hole,int,0
corva#completion.ccl-settings,completion.ccl-settings,time,data.depth_shift_pull_out_of_hole,int,0
corva#completion.ccl-settings,completion.ccl-settings,time,data.anomaly_depth_overlap_threshold,float,65.62
corva#completion.ccl-settings,completion.ccl-settings,time,data.anomaly_score_threshold_minor_to,float,0.6
corva#completion.ccl-settings,completion.ccl-settings,time,data.anomaly_score_threshold_minor_from,int,0
corva#completion.ccl-settings,completion.ccl-settings,time,data.anomaly_score_threshold_significant_to,int,1
corva#completion.ccl-settings,completion.ccl-settings,time,data.anomaly_score_threshold_significant_from,float,0.6
corva#completion.ccl-settings,completion.ccl-settings,time,version,int,1
corva#completion.ccl-settings,completion.ccl-settings,time,asset_id,int,123456
corva#completion.ccl-settings,completion.ccl-settings,time,provider,str,'corva'
corva#completion.ccl-settings,completion.ccl-settings,time,timestamp,int,1742423674
corva#completion.ccl-settings,completion.ccl-settings,time,collection,str,'completion.ccl-settings'
corva#completion.ccl-settings,completion.ccl-settings,time,company_id,int,5
corva#completion.ccl-summary,completion.ccl-summary,reference,_id,str,'6813a8e10ba350389dcc3989'
corva#completion.ccl-summary,completion.ccl-summary,reference,data,dict,object
corva#completion.ccl-summary,completion.ccl-summary,reference,data.state,str,'Run in Hole'
corva#completion.ccl-summary,completion.ccl-summary,reference,data.max_ccl,float,0.059356197065784266
corva#completion.ccl-summary,completion.ccl-summary,reference,data.min_ccl,float,0.026986904071739252
corva#completion.ccl-summary,completion.ccl-summary,reference,data.filtered,array,dict
corva#completion.ccl-summary,completion.ccl-summary,reference,data.filtered[].ccl,float,0.028087487478160974
corva#completion.ccl-summary,completion.ccl-summary,reference,data.filtered[].timestamp,float,1746117473.957198
corva#completion.ccl-summary,completion.ccl-summary,reference,data.filtered[].line_speed,float,69.23
corva#completion.ccl-summary,completion.ccl-summary,reference,data.filtered[].line_tension,float,527.86
corva#completion.ccl-summary,completion.ccl-summary,reference,data.filtered[].interpolated_depth,float,3296.013493872833
corva#completion.ccl-summary,completion.ccl-summary,reference,data.mean_ccl,float,0.030301255351879674
corva#completion.ccl-summary,completion.ccl-summary,reference,data.casing_joint,null,null
corva#completion.ccl-summary,completion.ccl-summary,reference,data.measured_depth,int,3296
corva#completion.ccl-summary,completion.ccl-summary,reference,data.delta_min_max_ccl,float,0.032369292994045014
corva#completion.ccl-summary,completion.ccl-summary,reference,app_key,str,'corva.ccl_anomaly_summary_tool'
corva#completion.ccl-summary,completion.ccl-summary,reference,version,int,1
corva#completion.ccl-summary,completion.ccl-summary,reference,asset_id,int,123456
corva#completion.ccl-summary,completion.ccl-summary,reference,provider,str,'corva'
corva#completion.ccl-summary,completion.ccl-summary,reference,collection,str,'completion.ccl-summary'
corva#completion.ccl-summary,completion.ccl-summary,reference,company_id,int,5
corva#completion.ccl-summary,completion.ccl-summary,reference,stage_number,int,50
corva#completion.custom_metrics,completion.custom_metrics,time,hhp,str,'HHP'
corva#completion.custom_metrics,completion.custom_metrics,time,HVFRS,dict,object
corva#completion.custom_metrics,completion.custom_metrics,time,HVFRS.HVFRS#,str,'bbl'
corva#completion.custom_metrics,completion.custom_metrics,time,HVRFL,dict,object
corva#completion.custom_metrics,completion.custom_metrics,time,HVRFL.HVRFL#,str,'bbl'
corva#completion.custom_metrics,completion.custom_metrics,time,hhp_zone,str,'zone#'
corva#completion.custom_metrics,completion.custom_metrics,time,fluid_system,str,'system#'
corva#completion.custom_metrics,completion.custom_metrics,time,pumping_hours,str,'segs'
corva#completion.custom_metrics,completion.custom_metrics,time,average_slurry_rate,str,'bbl/min'
corva#completion.custom_metrics,completion.custom_metrics,time,stage_end_timestamp,str,'timestamp'
corva#completion.custom_metrics,completion.custom_metrics,time,summary_start_timestamp,str,'timestamp'
corva#completion.custom_metrics,completion.custom_metrics,time,average_wellhead_pressure,str,'psi'
corva#completion.custom_metrics,completion.custom_metrics,time,pumping_hours_start_timestamp,str,'timestamp'
corva#completion.data.files,completion.data.files,time,_id,str,'5f75f3776c88017f9358a51a'
corva#completion.data.files,completion.data.files,time,data,dict,object
corva#completion.data.files,completion.data.files,time,data.id,str,'310a9340-4797-43a4-ac7d-0332bdd9c586'
corva#completion.data.files,completion.data.files,time,data.is_folder,bool,True
corva#completion.data.files,completion.data.files,time,data.display_name,str,'Post Stage Reports'
corva#completion.data.files,completion.data.files,time,version,int,1
corva#completion.data.files,completion.data.files,time,asset_id,int,31659357
corva#completion.data.files,completion.data.files,time,provider,str,'demo'
corva#completion.data.files,completion.data.files,time,timestamp,int,1601565559
corva#completion.data.files,completion.data.files,time,collection,str,'corva#completion.data.files'
corva#completion.data.files,completion.data.files,time,company_id,int,5
corva#completion.data.job-settings,completion.data.job-settings,time,_id,str,'61536afb49c1cc1ddf276cc0'
corva#completion.data.job-settings,completion.data.job-settings,time,data,dict,object
corva#completion.data.job-settings,completion.data.job-settings,time,data.goal_rate,int,50
corva#completion.data.job-settings,completion.data.job-settings,time,data.maximum_hhp,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,data.max_goal_pressure,int,6500
corva#completion.data.job-settings,completion.data.job-settings,time,data.min_goal_pressure,int,5000
corva#completion.data.job-settings,completion.data.job-settings,time,data.maximum_pumping_capacity,int,60
corva#completion.data.job-settings,completion.data.job-settings,time,data.wellhead_pressure_rating,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,data.packer_plug_pressure_rating,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,data.maximum_casing_hanger_pressure,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,data.surface_fluid_storage_capacity,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,data.maximum_casing_internal_pressure,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,data.equivalent_length_of_surface_equipment,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,data.maximum_allowable_surface_treating_pressure,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,version,int,1
corva#completion.data.job-settings,completion.data.job-settings,time,asset_id,int,15236
corva#completion.data.job-settings,completion.data.job-settings,time,provider,str,'corva'
corva#completion.data.job-settings,completion.data.job-settings,time,timestamp,int,1632856827
corva#completion.data.job-settings,completion.data.job-settings,time,collection,str,'completion.data.job-settings'
corva#completion.data.job-settings,completion.data.job-settings,time,company_id,int,5
corva#completion.data.time-log,completion.data.time-log,time,_id,str,'636c689904606001b3a9c61c'
corva#completion.data.time-log,completion.data.time-log,time,data,dict,object
corva#completion.data.time-log,completion.data.time-log,time,data.comment,str,'fracing this well'
corva#completion.data.time-log,completion.data.time-log,time,data.duration,float,116.25
corva#completion.data.time-log,completion.data.time-log,time,data.end_time,int,1668029951
corva#completion.data.time-log,completion.data.time-log,time,data.operation,str,'fracturing'
corva#completion.data.time-log,completion.data.time-log,time,data.start_time,int,1668021776
corva#completion.data.time-log,completion.data.time-log,time,data.stage_number,int,1
corva#completion.data.time-log,completion.data.time-log,time,data.duration_pressure,float,146.87
corva#completion.data.time-log,completion.data.time-log,time,data.end_time_pressure,int,1668029951
corva#completion.data.time-log,completion.data.time-log,time,data.start_time_pressure,int,1668021139
corva#completion.data.time-log,completion.data.time-log,time,version,int,1
corva#completion.data.time-log,completion.data.time-log,time,asset_id,int,123456
corva#completion.data.time-log,completion.data.time-log,time,provider,str,'corva'
corva#completion.data.time-log,completion.data.time-log,time,timestamp,int,1668021776
corva#completion.data.time-log,completion.data.time-log,time,collection,str,'completion.data.time-log'
corva#completion.data.time-log,completion.data.time-log,time,company_id,int,1
corva#completion.offset.abra,completion.offset.abra,time,_id,str,'xxxx'
corva#completion.offset.abra,completion.offset.abra,time,data,dict,object
corva#completion.offset.abra,completion.offset.abra,time,data.is_valid,bool,True
corva#completion.offset.abra,completion.offset.abra,time,data.pressure,str,'pressure from abra'
corva#completion.offset.abra,completion.offset.abra,time,data.timestamp,str,'timestamp from abra'
corva#completion.offset.abra,completion.offset.abra,time,data.temperature,str,'temperature from abra'
corva#completion.offset.abra,completion.offset.abra,time,version,int,1
corva#completion.offset.abra,completion.offset.abra,time,asset_id,int,24556316
corva#completion.offset.abra,completion.offset.abra,time,provider,str,'corva'
corva#completion.offset.abra,completion.offset.abra,time,timestamp,int,123456472
corva#completion.offset.abra,completion.offset.abra,time,company_id,int,15
corva#completion.offset.abra,completion.offset.abra,time,stage_number,int,13
corva#completion.predictions,completion.predictions,time,_id,str,'5e1d5cb9c547da4e9bd70afe'
corva#completion.predictions,completion.predictions,time,data,dict,object
corva#completion.predictions,completion.predictions,time,data.isip,array,dict
corva#completion.predictions,completion.predictions,time,data.isip[].gel,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].acid,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].biocide,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].divertor,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].timestamp,int,1536949365
corva#completion.predictions,completion.predictions,time,data.isip[].emulsifier,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].fluid_loss,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].powder_gel,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].surfactant,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].accelerator,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].anti_sludge,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].cross_linker,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].elapsed_time,int,5157
corva#completion.predictions,completion.predictions,time,data.isip[].iron_control,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].ploymer_plug,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].acid_retarder,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].acid_inhibitor,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].enzyme_breaker,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].liquid_breaker,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].mutual_solvent,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].non_emulsifier,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].powder_breaker,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].clay_stabilizer,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].fines_suspender,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].proppant_1_mass,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].proppant_2_mass,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].scale_inhibitor,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].friction_reducer,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].oxygen_scavenger,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].paraffin_control,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].wellhead_pressure,float,2316.552830696106
corva#completion.predictions,completion.predictions,time,data.isip[].clean_flow_rate_in,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].ph_adjusting_agent,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].corrosion_inhibitor,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].delayed_crosslinker,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].instant_crosslinker,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].slurry_flow_rate_in,float,4.37
corva#completion.predictions,completion.predictions,time,data.isip[].total_proppant_mass,int,0
corva#completion.predictions,completion.predictions,time,data.isip[].hydrostatic_pressure,int,0
