bit_manufacturer,bit_model,bit_diameters,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,total_runs,sources
Ulterra,XP616,10.625; 10.63; 12.25; 13.5; 16; 17.5; 7.874016; 7.875; 8.5; 8.503937; 8.740158; 8.75; 9.875; 9.8754; 9.88189,6,16,high,"XP:XP616->B6,16mm",1079,full_bit_scan
Ulterra,SPL616,10.625; 11; 12.25; 13.5; 14.75; 16; 16.000001; 17.5; 7.874016; 7.875; 7.88; 8.5; 8.740158; 8.75; 9.875,6,16,high,"Ulterra:SPL616->B6,16mm",827,full_bit_scan
Ulterra,U611S,6.125; 6.75; 7.875; 8.5; 8.75; 9.8754,6,11,high,"Ulterra-U:U611S->B6,11mm",719,full_bit_scan
Ulterra,U616S,12.25; 12.75; 13.5; 14.75; 17.5; 20; 20.000001; 26; 6.732284; 6.75; 8.5; 8.740158; 8.75; 9.875,6,16,high,"Ulterra-U:U616S->B6,16mm",711,full_bit_scan
Baker Hughes,P306WS,6.75; 7.875; 7.88; 8.5; 8.75,6,8,high,Baker:P306WS->C30B6(frac),696,full_bit_scan
Baker Hughes,P406S,6.125; 6.1251; 6.259843; 6.73; 6.73189; 6.732284; 6.75; 6.850394; 6.890158; 7.875; 8.5; 8.740158; 8.75,6,13,high,Baker:P406S->C40B6(frac),573,full_bit_scan
Baker Hughes,DD306WSX,6.75; 7.875; 7.8755; 8.5; 8.75,6,8,high,Baker:DD306WSX->C30B6(frac),524,full_bit_scan
Ulterra,CF611,14.75; 6.125; 6.75; 7.875; 7.88; 8.5; 8.75,6,11,high,"Ulterra-CF:CF611->B6,11mm",468,full_bit_scan
NOV,TKF66-AE10,12.25,6,16,high,"NOV-TK:TKF66-AE10->B6,C6",465,full_bit_scan
Ulterra,CF616,13.5; 14.75; 17.5; 6.75; 8.5; 8.75; 9.875,6,16,high,"Ulterra-CF:CF616->B6,16mm",441,full_bit_scan
Ulterra,SPL613,10.625; 12.25; 7.875; 8.5; 8.75; 9.875,6,13,high,"Ulterra:SPL613->B6,13mm",431,full_bit_scan
NOV,TKC63-N7,7.875; 7.88,6,13,high,"NOV-TK:TKC63-N7->B6,C3",377,full_bit_scan
Baker Hughes,DD405VS,6.692914; 6.75,5,13,high,Baker:DD405VS->C40B5(frac),372,full_bit_scan
Baker Hughes,DD405W,6.5; 6.692914; 6.75,5,13,high,Baker:DD405W->C40B5(frac),364,full_bit_scan
Baker Hughes,P505,13.5; 8.5; 8.503937; 8.75; 9.875,5,15,high,Baker:P505->C50B5(frac),340,full_bit_scan
Halliburton,HXi64s,6.75; 7.875,6,13,high,"HAL:HXi64s->B6,C4(frac)",339,full_bit_scan
Baker Hughes,DD406TS,6.259843; 6.75; 8.5; 8.740158; 8.75,6,13,high,Baker:DD406TS->C40B6(frac),327,full_bit_scan
Baker Hughes,D406TS,6.141732; 6.25; 6.259843; 6.732284; 6.75; 8.75,6,13,high,Baker:D406TS->C40B6(frac),279,full_bit_scan
Ulterra,U613M,12.25; 6; 6.124803; 6.259843; 6.732284; 6.75; 7.875; 7.878; 8.5; 8.740158; 8.75,6,13,high,"Ulterra-U:U613M->B6,13mm",279,full_bit_scan
Taurex,TXd613,6.75; 7.875; 7.88; 8.5; 8.75,6,13,high,"TX:TXd613->B6,13mm",274,full_bit_scan
Ulterra,RPS613,12.25; 6.125; 6.259843; 6.5; 6.75; 7.874016; 7.875; 8.740158; 8.75; 9.625; 9.875,6,13,high,"Ulterra:RPS613->B6,13mm",272,full_bit_scan
NOV,TKF63-N3,7.875,6,13,high,"NOV-TK:TKF63-N3->B6,C3",262,full_bit_scan
NOV,TKF66-AZ11,8.5; 8.75; 9.875,6,16,high,"NOV-TK:TKF66-AZ11->B6,C6",246,full_bit_scan
NOV,TKC66,12.25; 13.5; 14.75; 18.125; 7.875; 8.5; 8.75; 9.875,6,16,high,"NOV-TK:TKC66->B6,C6",241,full_bit_scan
Baker Hughes,P306S,6.259843; 6.75; 7.875; 8.5,6,8,high,Baker:P306S->C30B6(frac),240,full_bit_scan
NOV,TKF63-N7,7.875; 7.88,6,13,high,"NOV-TK:TKF63-N7->B6,C3",232,full_bit_scan
Halliburton,HD65s,10.25; 10.625; 11; 12.25; 13.5; 14.75; 17.5; 8.5; 8.75; 9.875,6,15,high,"HAL:HD65s->B6,C5(frac)",227,full_bit_scan
Baker Hughes,P506,12.25; 8.5; 8.740158; 8.75; 9.875,6,15,high,Baker:P506->C50B6(frac),224,full_bit_scan
Ulterra,RPS616,11; 12.25; 7.875; 8.5; 8.75; 9.875,6,16,high,"Ulterra:RPS616->B6,16mm",216,full_bit_scan
Baker Hughes,D405TS,6.125; 6.25; 6.259843; 6.26; 6.5; 6.729921; 6.75,5,13,high,Baker:D405TS->C40B5(frac),215,full_bit_scan
NOV,TKF66-CT2,8.75,6,16,high,"NOV-TK:TKF66-CT2->B6,C6",210,full_bit_scan
Halliburton,HD65WK,9.875,6,15,high,"HAL:HD65WK->B6,C5(frac)",207,full_bit_scan
Ulterra,U613S,12.244095; 12.25; 13.5; 6.125; 6.259843; 6.75; 6.889764; 7.875; 8.5,6,13,high,"Ulterra-U:U613S->B6,13mm",203,full_bit_scan
Taurex,TSt716,10.625; 11; 12.25; 14.75; 17.5; 9.875,7,16,high,"TX:TSt716->B7,16mm",199,full_bit_scan
Ulterra,RPS516,12.25; 8.75; 9.875,5,16,high,"Ulterra:RPS516->B5,16mm",193,full_bit_scan
Halliburton,HD65K,12.25; 8.5; 8.740158; 8.75; 9.875,6,15,high,"HAL:HD65K->B6,C5(frac)",187,full_bit_scan
Ulterra,U616M,10.629922; 14.75; 7.875; 8.5; 8.661418; 8.74; 8.740158; 8.75,6,16,high,"Ulterra-U:U616M->B6,16mm",182,full_bit_scan
Schlumberger,BVZ513-6A,5.984252; 6.25; 6.259843; 6.26; 6.732284; 8.740158,5,13,high,"SLB-Z:BVZ513-6A->B5,13mm",179,full_bit_scan
Varel,VION-616,10.625; 11; 12.25; 13.5; 14.75; 17.5; 8.75; 9.875; 9.88,6,16,high,"Varel:VION-616->B6,16mm",176,full_bit_scan
NOV,TKC56-G1,9.875; 9.88,5,16,high,"NOV-TK:TKC56-G1->B5,C6",174,full_bit_scan
NOV,TKF66-AQ1,12.25; 8.75,6,16,high,"NOV-TK:TKF66-AQ1->B6,C6",173,full_bit_scan
Ulterra,XP613,12.25; 6.125; 6.75; 6.7505; 8.5; 8.75; 9.875,6,13,high,"XP:XP613->B6,13mm",172,full_bit_scan
Ulterra,CF716,12.25; 13.5; 14.5; 14.75; 17.5; 8.5; 8.75,7,16,high,"Ulterra-CF:CF716->B7,16mm",164,full_bit_scan
Ulterra,CF613,10.625; 12.25; 6; 6.259843; 6.732284; 6.75; 8.5; 8.75; 9.875,6,13,high,"Ulterra-CF:CF613->B6,13mm",162,full_bit_scan
Halliburton,HXi54s,6.75; 6.7505,5,13,high,"HAL:HXi54s->B5,C4(frac)",156,full_bit_scan
Varel,Vion-616,10.625; 11; 12.25; 13.5; 14.75; 17.5; 8.75; 9.875; 9.88,6,16,high,"Varel:Vion-616->B6,16mm",156,full_bit_scan
Baker Hughes,P306,6.259843; 6.75; 7.875; 8.5,6,8,high,Baker:P306->C30B6(frac),155,full_bit_scan
Baker Hughes,P406H,6.125; 6.141732; 6.259843; 6.75; 7.875; 8.5; 8.75,6,13,high,Baker:P406H->C40B6(frac),154,full_bit_scan
Ulterra,XP716,10.625; 12.25; 8.5; 8.75,7,16,high,"XP:XP716->B7,16mm",153,full_bit_scan
Baker Hughes,LC-D405TS,6.75,5,13,high,Baker:LC-D405TS->C40B5(frac),151,full_bit_scan
NOV,TKF76-W1,8.5; 8.75,7,16,high,"NOV-TK:TKF76-W1->B7,C6",151,full_bit_scan
NOV,TKF66,11; 12.25; 7.875; 8.5; 8.75; 9.875,6,16,high,"NOV-TK:TKF66->B6,C6",146,full_bit_scan
Ulterra,RPS716,10.625; 11; 12.25; 9.625; 9.875,7,16,high,"Ulterra:RPS716->B7,16mm",143,full_bit_scan
NOV,TK63-G9,8.75; 9.875,6,13,high,"NOV-TK:TK63-G9->B6,C3",142,full_bit_scan
Halliburton,HDi64K,17.5; 6.125; 6.75,6,13,high,"HAL:HDi64K->B6,C4(frac)",137,full_bit_scan
Baker Hughes,DD406S,6.125; 6.75; 7.874016; 8.5; 8.75; 9.88189,6,13,high,Baker:DD406S->C40B6(frac),136,full_bit_scan
Ulterra,CF516,8.75,5,16,high,"Ulterra-CF:CF516->B5,16mm",136,full_bit_scan
Baker Hughes,DD406VTH,6.75,6,13,high,Baker:DD406VTH->C40B6(frac),135,full_bit_scan
NOV,TKC63-N4,7.875; 7.88,6,13,high,"NOV-TK:TKC63-N4->B6,C3",134,full_bit_scan
Taurex,TSs616,12.25; 13.5; 14.75; 20; 20.000001,6,16,high,"TX:TSs616->B6,16mm",130,full_bit_scan
Taurex,TSt616,10.625; 12.25; 17.5; 9.875,6,16,high,"TX:TSt616->B6,16mm",129,full_bit_scan
Ulterra,WAV616,11; 12.25; 8.75; 9.875; 9.88,6,16,high,"Ulterra-CF:WAV616->B6,16mm",117,full_bit_scan
Halliburton,HD55,12.25; 6; 6.5; 6.73; 6.73189; 6.732; 6.732284; 6.75; 6.751969; 8.5; 8.740158; 8.75,5,15,high,"HAL:HD55->B5,C5(frac)",113,full_bit_scan
NOV,TKF63-N4,7.875; 7.88,6,13,high,"NOV-TK:TKF63-N4->B6,C3",110,full_bit_scan
NOV,TKF66-AE1,12.25; 7.875; 9.875,6,16,high,"NOV-TK:TKF66-AE1->B6,C6",109,full_bit_scan
Halliburton,HXi64Ms,6.75; 8.5; 8.75; 9.875,6,13,high,"HAL:HXi64Ms->B6,C4(frac)",108,full_bit_scan
NOV,TKF66-AB2,9.875; 9.8754; 9.88,6,16,high,"NOV-TK:TKF66-AB2->B6,C6",106,full_bit_scan
Baker Hughes,DD306S,6.259843; 6.73; 6.732284; 6.75; 7.875; 8.5,6,8,high,Baker:DD306S->C30B6(frac),104,full_bit_scan
NOV,TK66-E3,17.5,6,16,high,"NOV-TK:TK66-E3->B6,C6",104,full_bit_scan
Schlumberger,BXZ516,12.25; 13.5; 8.75,5,16,high,"SLB-Z:BXZ516->B5,16mm",103,full_bit_scan
Baker Hughes,P406,12.25; 6.75; 7.875; 8.5; 8.503937; 8.504; 8.740158; 8.75; 9.875,6,13,high,Baker:P406->C40B6(frac),101,full_bit_scan
Baker Hughes,D506X,12.25; 13.5; 6; 8.75; 9.875,6,15,high,Baker:D506X->C50B6(frac),100,full_bit_scan
Schlumberger,BVZ513,6.259843; 6.729921; 6.73; 6.732284; 6.75; 6.77,5,13,high,"SLB-Z:BVZ513->B5,13mm",100,full_bit_scan
Ulterra,XP713,12.25; 6.75; 8.5; 9.875,7,13,high,"XP:XP713->B7,13mm",99,full_bit_scan
Taurex,TXd616,10.624803; 10.625; 7.875; 8.5; 8.75,6,16,high,"TX:TXd616->B6,16mm",98,full_bit_scan
Halliburton,HDi64M1,6.125; 6.75,6,13,high,"HAL:HDi64M1->B6,C4(frac)",97,full_bit_scan
Ulterra,U713M,10.625; 12.25; 6.141732; 6.259843; 6.75; 7.875; 8.5; 8.75,7,13,high,"Ulterra-U:U713M->B7,13mm",97,full_bit_scan
NOV,TKC63,6; 6.125; 6.259843; 6.5; 6.75; 7.875; 8.5; 8.75,6,13,high,"NOV-TK:TKC63->B6,C3",93,full_bit_scan
Halliburton,HDi64DKHF,6.124803; 6.125; 6.125197,6,13,high,"HAL:HDi64DKHF->B6,C4(frac)",92,full_bit_scan
Ulterra,U516S,13.5; 6.732284; 6.75; 7.875; 8.5; 9.875,5,16,high,"Ulterra-U:U516S->B5,16mm",91,full_bit_scan
NOV,TK56,6.125; 7.875; 8.5; 8.75; 9.875,5,16,high,"NOV-TK:TK56->B5,C6",90,full_bit_scan
NOV,TKF76-AG1,12.25,7,16,high,"NOV-TK:TKF76-AG1->B7,C6",89,full_bit_scan
Baker Hughes,DD405WS,6.75,5,13,high,Baker:DD405WS->C40B5(frac),87,full_bit_scan
NOV,TKF76-N4,8.75,7,16,high,"NOV-TK:TKF76-N4->B7,C6",87,full_bit_scan
Ulterra,U513S,6.25; 6.259843; 6.732284; 6.75; 6.751969; 8.75,5,13,high,"Ulterra-U:U513S->B5,13mm",87,full_bit_scan
Halliburton,HD64,6.259843; 6.75; 8.5; 8.75; 9.875,6,13,high,"HAL:HD64->B6,C4(frac)",86,full_bit_scan
NOV,TKC63-N6,7.875; 7.88,6,13,high,"NOV-TK:TKC63-N6->B6,C3",86,full_bit_scan
Taurex,TXt716,10.625; 12.25; 8.75; 9.875,7,16,high,"TX:TXt716->B7,16mm",83,full_bit_scan
Baker Hughes,D507VX,10.625; 12.25; 8.740158,7,15,high,Baker:D507VX->C50B7(frac),80,full_bit_scan
NOV,TKC63-N3,7.875; 7.88,6,13,high,"NOV-TK:TKC63-N3->B6,C3",78,full_bit_scan
NOV,TKF63-AD12,6.75,6,13,high,"NOV-TK:TKF63-AD12->B6,C3",77,full_bit_scan
NOV,TKF76-T10,12.25,7,16,high,"NOV-TK:TKF76-T10->B7,C6",76,full_bit_scan
Ulterra,SPL519,12.204725; 12.244095; 12.25; 8.5,5,19,high,"Ulterra:SPL519->B5,19mm",76,full_bit_scan
Baker Hughes,DD406TSX,8.5,6,13,high,Baker:DD406TSX->C40B6(frac),75,full_bit_scan
NOV,TK66,11; 12.25; 13.5; 14.75; 17.5; 7.875; 8.5; 8.75,6,16,high,"NOV-TK:TK66->B6,C6",75,full_bit_scan
Baker Hughes,P406W,6; 6.75; 7.875; 8.75,6,13,high,Baker:P406W->C40B6(frac),74,full_bit_scan
Baker Hughes,DD406X,10.625; 6; 6.125; 8.5; 8.75; 9.875,6,13,high,Baker:DD406X->C40B6(frac),73,full_bit_scan
Baker Hughes,DD506X,12.25; 8.5; 8.75,6,15,high,Baker:DD506X->C50B6(frac),73,full_bit_scan
Taurex,TXt713,10.625; 12.25; 9.625; 9.875,7,13,high,"TX:TXt713->B7,13mm",72,full_bit_scan
Baker Hughes,P505HC,6.25; 6.259843; 6.729921; 6.73; 6.732284; 6.75,5,15,high,Baker:P505HC->C50B5(frac),71,full_bit_scan
Schlumberger,BXT616SM,12.25; 13.5; 8.5; 8.75; 9.875,6,16,high,"SLB-BT:BXT616SM->B6,16mm",71,full_bit_scan
Taurex,TXx614,9.625; 9.875,6,14,high,"TX:TXx614->B6,14mm",71,full_bit_scan
Varel,Vion 616,11; 12.25; 13.5; 17.5; 8.75; 9.875; 9.88,6,16,high,"Varel:Vion 616->B6,16mm",71,full_bit_scan
Baker Hughes,LC-406,6.75,6,13,high,Baker:LC-406->C40B6(frac),70,full_bit_scan
NOV,TKC53-L1,6.25; 6.259843; 6.732284,5,13,high,"NOV-TK:TKC53-L1->B5,C3",70,full_bit_scan
Baker Hughes,DD406VTW,6.75,6,13,high,Baker:DD406VTW->C40B6(frac),69,full_bit_scan
Baker Hughes,D505TH,6.73189; 6.732; 6.732284; 6.75; 7.874016,5,15,high,Baker:D505TH->C50B5(frac),68,full_bit_scan
Baker Hughes,LC-DD406TS,6.75,6,13,high,Baker:LC-DD406TS->C40B6(frac),68,full_bit_scan
Baker Hughes,ATD505X,8.5; 8.75,5,15,high,Baker:ATD505X->C50B5(frac),66,full_bit_scan
NOV,TKF66-H5,11,6,16,high,"NOV-TK:TKF66-H5->B6,C6",66,full_bit_scan
NOV,TK63-N3,7.875; 7.88,6,13,high,"NOV-TK:TK63-N3->B6,C3",65,full_bit_scan
NOV,TKF63-AD9,6.75,6,13,high,"NOV-TK:TKF63-AD9->B6,C3",65,full_bit_scan
Schlumberger,BT516M,8.740158; 9.875,5,16,high,"SLB-BT:BT516M->B5,16mm",65,full_bit_scan
Taurex,TSd611,6.75; 7.875; 8.5,6,11,high,"TX:TSd611->B6,11mm",65,full_bit_scan
Baker Hughes,DD505TS,8.75,5,15,high,Baker:DD505TS->C50B5(frac),64,full_bit_scan
Schlumberger,BXT716SM,10.625; 12.244095; 12.25; 17.5; 8.5; 8.75,7,16,high,"SLB-BT:BXT716SM->B7,16mm",64,full_bit_scan
Baker Hughes,DD406THX,7.875; 8.5; 8.75,6,13,high,Baker:DD406THX->C40B6(frac),62,full_bit_scan
Baker Hughes,P506WS,10.625; 7.875; 8.75,6,15,high,Baker:P506WS->C50B6(frac),62,full_bit_scan
NOV,TKC66-B1,14.75,6,16,high,"NOV-TK:TKC66-B1->B6,C6",62,full_bit_scan
Schlumberger,BVTZ613,6.259843; 6.732284; 6.75,6,13,high,"SLB-Z:BVTZ613->B6,13mm",62,full_bit_scan
Baker Hughes,P405S,6.125; 6.259843; 6.732284; 6.75,5,13,high,Baker:P405S->C40B5(frac),61,full_bit_scan
Ulterra,U716S,12.25; 14.75; 7.875; 8.5; 8.740158; 8.75,7,16,high,"Ulterra-U:U716S->B7,16mm",61,full_bit_scan
Ulterra,XP616-R5,12.25,6,16,high,"XP:XP616-R5->B6,16mm",61,full_bit_scan
NOV,TK63-N6,7.875; 7.88,6,13,high,"NOV-TK:TK63-N6->B6,C3",60,full_bit_scan
Schlumberger,BXT616S,12.25; 8.75; 9.875,6,16,high,"SLB-BT:BXT616S->B6,16mm",60,full_bit_scan
NOV,TK63-P1,6.259843,6,13,high,"NOV-TK:TK63-P1->B6,C3",59,full_bit_scan
NOV,TKF76-T8,12.25,7,16,high,"NOV-TK:TKF76-T8->B7,C6",59,full_bit_scan
Baker Hughes,DD506TSX,8.5; 8.75,6,15,high,Baker:DD506TSX->C50B6(frac),58,full_bit_scan
Ulterra,RPS713,10.625; 8.75; 9.625; 9.874803; 9.875,7,13,high,"Ulterra:RPS713->B7,13mm",57,full_bit_scan
Baker Hughes,DD405,6.124803; 6.125; 6.692914; 6.75,5,13,high,Baker:DD405->C40B5(frac),56,full_bit_scan
NOV,TK63,5.875; 6; 6.125; 6.75; 7.875; 8.5; 8.75,6,13,high,"NOV-TK:TK63->B6,C3",54,full_bit_scan
NOV,TKC63-G9,8.75,6,13,high,"NOV-TK:TKC63-G9->B6,C3",54,full_bit_scan
NOV,TKF63-B2,7.875,6,13,high,"NOV-TK:TKF63-B2->B6,C3",54,full_bit_scan
Baker Hughes,P406WS,6.75; 7.875; 8.5,6,13,high,Baker:P406WS->C40B6(frac),53,full_bit_scan
Baker Hughes,P507,10.625; 12.25; 8.5,7,15,high,Baker:P507->C50B7(frac),53,full_bit_scan
NOV,TKC63-AE1,8.75,6,13,high,"NOV-TK:TKC63-AE1->B6,C3",53,full_bit_scan
NOV,XP716,12.25,7,16,high,"XP:XP716->B7,16mm",53,full_bit_scan
Ulterra,U519S,12.244095; 13.740158; 8.75; 9.88189,5,19,high,"Ulterra-U:U519S->B5,19mm",53,full_bit_scan
NOV,TKF63-AD11,6.75,6,13,high,"NOV-TK:TKF63-AD11->B6,C3",52,full_bit_scan
Baker Hughes,ATD505,8.5; 8.75,5,15,high,Baker:ATD505->C50B5(frac),51,full_bit_scan
Baker Hughes,DD406T,6.259843; 8.74; 8.740158; 8.75,6,13,high,Baker:DD406T->C40B6(frac),51,full_bit_scan
Halliburton,HD65E,6.75; 7.875; 8.5; 8.75; 9.875,6,15,high,"HAL:HD65E->B6,C5(frac)",51,full_bit_scan
Ulterra,SPL516,12.25; 13.5; 6.75; 8.75; 9.875,5,16,high,"Ulterra:SPL516->B5,16mm",51,full_bit_scan
Baker Hughes,DD406TW,6.75,6,13,high,Baker:DD406TW->C40B6(frac),50,full_bit_scan
Baker Hughes,DD506TS,8.5; 8.75,6,15,high,Baker:DD506TS->C50B6(frac),50,full_bit_scan
Baker Hughes,P506S,6.75; 8.5; 8.503937; 8.740158; 8.75; 9.875,6,15,high,Baker:P506S->C50B6(frac),50,full_bit_scan
NOV,TKC63-AD12,6.75,6,13,high,"NOV-TK:TKC63-AD12->B6,C3",50,full_bit_scan
NOV,TK53,5.875; 6; 6.75,5,13,high,"NOV-TK:TK53->B5,C3",48,full_bit_scan
Schlumberger,BXT613SM,8.75; 9.875,6,13,high,"SLB-BT:BXT613SM->B6,13mm",48,full_bit_scan
Baker Hughes,D406HI,6.125; 6.129921; 6.141732; 6.259843; 6.732284,6,13,high,Baker:D406HI->C40B6(frac),47,full_bit_scan
Baker Hughes,D506VX,9.875,6,15,high,Baker:D506VX->C50B6(frac),47,full_bit_scan
NOV,TKF66-H1,10.625; 11,6,16,high,"NOV-TK:TKF66-H1->B6,C6",47,full_bit_scan
Baker Hughes,DD406SX,6.259843,6,13,high,Baker:DD406SX->C40B6(frac),46,full_bit_scan
NOV,TKF63-AE1,8.75,6,13,high,"NOV-TK:TKF63-AE1->B6,C3",46,full_bit_scan
NOV,TKF66-AD5,8.5,6,16,high,"NOV-TK:TKF66-AD5->B6,C6",46,full_bit_scan
Baker Hughes,LC-DD405VS,6.75,5,13,high,Baker:LC-DD405VS->C40B5(frac),45,full_bit_scan
Baker Hughes,P405W,6; 6.125; 6.5; 6.75,5,13,high,Baker:P405W->C40B5(frac),45,full_bit_scan
Halliburton,HD65,12.25; 6.75; 7.874016; 8.5; 8.74; 8.740158; 8.75; 9.875,6,15,high,"HAL:HD65->B6,C5(frac)",45,full_bit_scan
NOV,TKC63-AD9,6.75,6,13,high,"NOV-TK:TKC63-AD9->B6,C3",45,full_bit_scan
Baker Hughes,P506W,12.25; 8.5; 8.75; 9.875,6,15,high,Baker:P506W->C50B6(frac),44,full_bit_scan
NOV,TKF76-T9,12.25,7,16,high,"NOV-TK:TKF76-T9->B7,C6",44,full_bit_scan
Taurex,TSd613,6.75; 6.7505; 7.875; 8.5,6,13,high,"TX:TSd613->B6,13mm",44,full_bit_scan
Baker Hughes,ATD405X,8.5,5,13,high,Baker:ATD405X->C40B5(frac),43,full_bit_scan
Baker Hughes,D507HX,8.740158,7,15,high,Baker:D507HX->C50B7(frac),43,full_bit_scan
Baker Hughes,P506H,12.244095; 7.875; 8.5; 8.740158; 8.75,6,15,high,Baker:P506H->C50B6(frac),43,full_bit_scan
Ulterra,U611M,6.75; 7.875; 8.5; 8.75,6,11,high,"Ulterra-U:U611M->B6,11mm",43,full_bit_scan
Baker Hughes,DD505,6.75,5,15,high,Baker:DD505->C50B5(frac),42,full_bit_scan
NOV,TK63-U1,6.141732; 6.259843; 8.75,6,13,high,"NOV-TK:TK63-U1->B6,C3",42,full_bit_scan
Schlumberger,BT613M,6; 6.125; 6.75; 7.875; 8.75,6,13,high,"SLB-BT:BT613M->B6,13mm",42,full_bit_scan
NOV,TKC63-M2,6,6,13,high,"NOV-TK:TKC63-M2->B6,C3",41,full_bit_scan
NOV,TKF63-R3,8.5,6,13,high,"NOV-TK:TKF63-R3->B6,C3",41,full_bit_scan
NOV,TKF66-H6,11; 9.875,6,16,high,"NOV-TK:TKF66-H6->B6,C6",41,full_bit_scan
Baker Hughes,DD406TWS,6.75,6,13,high,Baker:DD406TWS->C40B6(frac),40,full_bit_scan
Baker Hughes,P506WH,8.75,6,15,high,Baker:P506WH->C50B6(frac),40,full_bit_scan
NOV,TK63-AD9,6.75,6,13,high,"NOV-TK:TK63-AD9->B6,C3",40,full_bit_scan
NOV,TKC56,7.875; 8.75; 9.875,5,16,high,"NOV-TK:TKC56->B5,C6",40,full_bit_scan
NOV,TKC63-N1,6.25; 6.259843; 6.732284; 7.875,6,13,high,"NOV-TK:TKC63-N1->B6,C3",40,full_bit_scan
NOV,TKF63,6.75; 7.875; 8.5; 8.75; 9.875,6,13,high,"NOV-TK:TKF63->B6,C3",40,full_bit_scan
NOV,TKC63-I1,6.259843; 6.75; 8.5,6,13,high,"NOV-TK:TKC63-I1->B6,C3",39,full_bit_scan
NOV,TKC66-CF1,8.75,6,16,high,"NOV-TK:TKC66-CF1->B6,C6",39,full_bit_scan
NOV,TKF66-AE8,12.25,6,16,high,"NOV-TK:TKF66-AE8->B6,C6",39,full_bit_scan
Baker Hughes,D405VTHS,6.75,5,13,high,Baker:D405VTHS->C40B5(frac),38,full_bit_scan
Baker Hughes,D406VX,12.25; 8.75; 9.875,6,13,high,Baker:D406VX->C40B6(frac),38,full_bit_scan
Baker Hughes,DD406TWSX,7.875; 8.5,6,13,high,Baker:DD406TWSX->C40B6(frac),38,full_bit_scan
Halliburton,HD64M,10.625; 5.875; 6.125; 6.75; 7.875; 9.875,6,13,high,"HAL:HD64M->B6,C4(frac)",38,full_bit_scan
Halliburton,HD74K,12.25; 8.75,7,13,high,"HAL:HD74K->B7,C4(frac)",38,full_bit_scan
NOV,TK53-G1,6.259843,5,13,high,"NOV-TK:TK53-G1->B5,C3",38,full_bit_scan
NOV,TKC56-G4,9.875; 9.88,5,16,high,"NOV-TK:TKC56-G4->B5,C6",38,full_bit_scan
Ulterra,CF713,12.25; 7.875,7,13,high,"Ulterra-CF:CF713->B7,13mm",38,full_bit_scan
Baker Hughes,D506VTHX,7.875; 8.5,6,15,high,Baker:D506VTHX->C50B6(frac),37,full_bit_scan
Baker Hughes,LC-D406TS,6.75,6,13,high,Baker:LC-D406TS->C40B6(frac),37,full_bit_scan
NOV,TK53-05,6.729921; 6.732; 6.732284; 6.75,5,13,high,"NOV-TK:TK53-05->B5,C3",37,full_bit_scan
NOV,TK53-T1,6.25; 6.259843; 6.732284,5,13,high,"NOV-TK:TK53-T1->B5,C3",37,full_bit_scan
Baker Hughes,DD306V,6.25; 6.259843,6,8,high,Baker:DD306V->C30B6(frac),36,full_bit_scan
NOV,TK63-H1,6.259843; 6.73189; 6.732284,6,13,high,"NOV-TK:TK63-H1->B6,C3",36,full_bit_scan
NOV,TKC66-BN1,8.740158,6,16,high,"NOV-TK:TKC66-BN1->B6,C6",36,full_bit_scan
NOV,TKF66-AZ1,8.5; 8.75,6,16,high,"NOV-TK:TKF66-AZ1->B6,C6",36,full_bit_scan
NOV,TKF76-T7,12.25,7,16,high,"NOV-TK:TKF76-T7->B7,C6",36,full_bit_scan
Schlumberger,BT616M,12.25; 16; 16.5; 17.5; 18.375; 8.5; 8.75; 9.5; 9.875,6,16,high,"SLB-BT:BT616M->B6,16mm",36,full_bit_scan
Schlumberger,BT716M,12.25; 17.5; 17.500001; 8.5,7,16,high,"SLB-BT:BT716M->B7,16mm",36,full_bit_scan
Taurex,TSs619,17; 17.5; 17.500001,6,19,high,"TX:TSs619->B6,19mm",36,full_bit_scan
Taurex,TXx616,9.875,6,16,high,"TX:TXx616->B6,16mm",36,full_bit_scan
Halliburton,HD65FTs,12.25,6,15,high,"HAL:HD65FTs->B6,C5(frac)",35,full_bit_scan
NOV,TKC66-C1,13.5,6,16,high,"NOV-TK:TKC66-C1->B6,C6",35,full_bit_scan
Schlumberger,BT519,12.244095; 8.5; 8.75; 9.875,5,19,high,"SLB-BT:BT519->B5,19mm",35,full_bit_scan
Ulterra,XP611,6.75; 8.5,6,11,high,"XP:XP611->B6,11mm",35,full_bit_scan
Baker Hughes,DD306TWHX,6.75; 7.875; 8.75,6,8,high,Baker:DD306TWHX->C30B6(frac),33,full_bit_scan
Baker Hughes,DD306VTWS,6.75,6,8,high,Baker:DD306VTWS->C30B6(frac),33,full_bit_scan
Halliburton,HD64DK,6,6,13,high,"HAL:HD64DK->B6,C4(frac)",33,full_bit_scan
Halliburton,HD65MKFs,10.625; 12.25; 18.25; 18.5,6,15,high,"HAL:HD65MKFs->B6,C5(frac)",33,full_bit_scan
NOV,TKC63-N11,7.875,6,13,high,"NOV-TK:TKC63-N11->B6,C3",33,full_bit_scan
NOV,TKF76,10.625; 12.25; 8.75,7,16,high,"NOV-TK:TKF76->B7,C6",33,full_bit_scan
Ulterra,U611s,6.75; 8.5,6,11,high,"Ulterra-U:U611s->B6,11mm",33,full_bit_scan
